Molecule,C_index,O_index,bond_CO,angle_O_C_X,dihedral_real,nu_CO_DFT,SCF_energy,Gibbs_energy,dipole,A_rot,B_rot,C_rot,charge_C,charge_O,lowdin_C,lowdin_O,mayer_CO,s_C,p_C,sp_ratio,HOMO,LUMO,gap,Epar_lowdin_MV_per_cm,nu_CO_exp,HOMO_1,LUMO_1,pi,pi_star
N_N-Dipropylformamide,1,0,1.2162055736288993,125.39719409583982,0.0,1748.56,-405.702665806046,-405.52315599,4.134253618,1946.813482,898.74037,662.103222,0.1342,-0.366413,-0.41415,0.035954,1.9824,3.153302,2.485005,0.7880643845721089,-0.244516,0.016965,0.261481,-89.9934552936267,1697.5,-0.255152945979082,0.022128455258477,-0.417521179509499,5.28843168499598
Octanal,7,8,1.2040189869470497,125.17339524817952,-124.00379489868368,1803.93,-389.636091854446,-389.44586502,2.783518472,3782.687911,549.793308,513.467641,0.087037,-0.266048,-0.29474,0.116783,2.1407,3.262458,2.466414,0.755998697914272,-0.259248,-0.027816,0.2314319999999999,-11.43586450692452,1742.0831826401447,-0.313345804943256,0.0249912736272346,-0.489522124154689,4.70052764105736
Octanoic_acid,7,8,1.2037695633969985,126.2058199315286,-145.74780146925002,1809.0,-464.898974969195,-464.70407706,1.432007166,2003.97845,542.008615,484.705465,0.275328,-0.310958,-0.499676,0.102245,2.0562,3.089033,2.34414,0.7588588402907964,-0.28369,-0.000629,0.283061,-22.59418088309924,1758.0,-0.310616699308555,0.0281699022189427,-0.483915995838039,4.8213899818363
Pentanamide,4,5,1.2165023876478829,122.56063902946002,167.90648035611005,1760.35,-327.110632219245,-326.98502612,3.593748316,6075.386468,1202.96673,1052.960141,0.282971,-0.351981,-0.478714,0.065738,2.0766,3.072592,2.378587,0.7741304410087639,-0.2544,0.018129,0.272529,-12.503495076709267,1698.0,-0.27545975763972,0.0221234619143319,-0.399734504845286,1.60195290856371
Phenyl_chloroformate,12,13,1.1806880495033394,123.44663071434222,0.0,1871.71,-880.326897450293,-880.25607809,4.022986529,2533.719768,715.58286,693.635351,0.28452,-0.208277,-0.755513,0.160847,2.1602,3.070903,2.324215,0.7568506722615466,-0.271517,-0.036592,0.234925,-166.0469942063872,1778.0,-0.280094520175807,-0.0365432903087598,-0.465158187862994,4.43576115533974
Phthalic_anhydride,1,0,1.18983205248598,130.84206191734532,-179.9930462856477,1842.21,-532.911667668928,-532.8411223,5.859336038,1805.257273,1195.32653,719.150694,0.306342,-0.226545,-0.377626,0.172641,2.1889,3.045386,2.372686,0.7791084611277519,-0.300083,-0.103223,0.1968599999999999,-12.609979530227845,1822.0,-0.301999506188165,-0.0714986757962338,-0.429183507563612,0.818186159276916
Phthalic_anhydride,3,4,1.1898269385003013,130.84647622333145,179.98004553898696,1649.85,-532.911667668928,-532.8411223,5.859336038,1805.257273,1195.32653,719.150694,0.306199,-0.226559,-0.377604,0.172645,2.1889,3.045502,2.372712,0.7790873228781331,-0.300083,-0.103223,0.1968599999999999,-12.602023688971531,1806.0384937238491,-0.301999506188165,-0.0714986757962338,-0.465395010558436,0.818186159276916
Phthalimide,1,0,1.2049772955794642,129.37956884621246,-179.99509658532446,1832.94,-513.046879350474,-512.96372736,2.939027513,1751.240727,1201.727008,712.677372,0.235174,-0.273106,-0.358873,0.123753,2.1884,3.04567,2.452244,0.8051574858733874,-0.279041,-0.091721,0.18732,-2.0671926944495707,1767.972851874198,-0.285295372789938,-0.0542613123053124,-0.448817379362175,0.801796867721812
Phthalimide,3,4,1.204980995313619,129.37727181063994,-179.9886029275879,1799.11,-513.046879350474,-512.96372736,2.939027513,1751.240727,1201.727008,712.677372,0.235134,-0.273088,-0.358897,0.123765,2.1885,3.045704,2.452244,0.8051484976872342,-0.279041,-0.091721,0.18732,-2.0719185775458726,1749.58296,-0.285295372789938,-0.0542613123053124,-0.448817379362175,0.801796867721812
Propiophenone,2,3,1.2152249806924642,120.11929941776826,22.066397257398886,1743.01,-424.141123279837,-424.00871027,3.091804995,2645.540039,931.270392,735.698451,0.243331,-0.302743,-0.285437,0.129392,2.065,3.134441,2.393678,0.7636698218278793,-0.25197,-0.06444,0.18753,86.79752224688463,1705.9888544891642,-0.266042609833586,-0.0221682634396394,-0.416877405463625,0.734055750582452
Propylene_carbonate,4,5,1.187622939661406,124.74623217122502,0.0,1890.91,-381.696907399227,-381.62454494,5.564891407,5318.529444,2382.309021,1908.495978,0.349242,-0.267548,-0.611225,0.127485,2.1675,3.005367,2.308685,0.7681873794448398,-0.301361,0.018256,0.319617,-138.02048950619078,1778.0,-0.315285081593763,0.0320714722456037,-0.44949292241144,4.67234989639703
Propyl_formate,4,5,1.2000728024874157,126.4449170850092,0.0,1787.39,-307.664894302275,-307.57681672,2.015938763,8251.021363,1927.66388,1718.946205,0.223772,-0.313877,-0.456378,0.084327,2.0293,3.130138,2.404814,0.7682773091793397,-0.290045,-0.004056,0.285989,-124.86603554683369,1757.4974632843791,-0.310188348141042,0.0353226725708104,-0.468742032162641,1.46351028583147
